name,pokedexNumber,image,generation,evolutionStage,evolved,familyID,crossGen,type1,type2,weather1,weather2,statTotal,atk,def,sta,legendary,aquireable,spawns,regional,raidable,hatchable,shiny,nest,new,notGettable,futureEvolve,cp40,cp39
Krabby,98,https://cdn.traction.one/pokedex/pokemon/98.png,1,1,0,44,0,water,,Rainy,,397,181,156,60,0,1,1,0,0,0,0,1,0,0,0,1386,1366
Kingler,99,https://cdn.traction.one/pokedex/pokemon/99.png,1,2,1,44,0,water,,Rainy,,564,240,214,110,0,1,1,0,0,0,0,0,0,0,0,2694,2656
Voltorb,100,https://cdn.traction.one/pokedex/pokemon/100.png,1,1,0,45,0,electric,,Rainy,,303,109,114,80,0,1,1,0,0,0,0,1,0,0,0,857,845
Electrode,101,https://cdn.traction.one/pokedex/pokemon/101.png,1,2,1,45,0,electric,,Rainy,,472,173,179,120,0,1,1,0,0,0,0,0,0,0,0,1900,1873
Exeggcute,102,https://cdn.traction.one/pokedex/pokemon/102.png,1,1,0,46,0,grass,psychic,Sunny/clear,Windy,367,107,140,120,0,1,1,0,0,2,0,1,0,0,0,1102,1086
Exeggutor,103,https://cdn.traction.one/pokedex/pokemon/103.png,1,2,1,46,0,grass,psychic,Sunny/clear,Windy,581,233,158,190,0,1,1,0,2,0,0,0,0,0,0,2916,2875
Cubone,104,https://cdn.traction.one/pokedex/pokemon/104.png,1,1,0,47,0,ground,,Sunny/clear,,355,90,165,100,0,1,1,0,0,0,0,1,0,0,0,943,930
Marowak,105,https://cdn.traction.one/pokedex/pokemon/105.png,1,2,1,47,0,ground,,Sunny/clear,,464,144,200,120,0,1,1,0,0,0,0,0,0,0,0,1691,1667
Hitmonlee,106,https://cdn.traction.one/pokedex/pokemon/106.png,1,1,1,48,0,fighting,,Cloudy,,535,224,211,100,0,1,1,0,0,0,0,0,0,0,0,2406,2372
Hitmonchan,107,https://cdn.traction.one/pokedex/pokemon/107.png,1,1,1,48,0,fighting,,Cloudy,,505,193,212,100,0,1,1,0,0,0,0,0,0,0,0,2098,2069
Lickitung,108,https://cdn.traction.one/pokedex/pokemon/108.png,1,1,1,49,1,normal,,Partly cloudy,,425,108,137,180,0,1,1,0,0,5,0,0,0,0,1,1322,1303
Koffing,109,https://cdn.traction.one/pokedex/pokemon/109.png,1,1,0,50,0,poison,,Cloudy,,363,119,164,80,0,1,1,0,0,5,0,0,0,0,0,1091,1075
Weezing,110,https://cdn.traction.one/pokedex/pokemon/110.png,1,2,1,50,0,poison,,Cloudy,,525,174,221,130,0,1,1,0,0,0,0,0,0,0,0,2183,2152
Rhyhorn,111,https://cdn.traction.one/pokedex/pokemon/111.png,1,1,0,51,0,ground,rock,Sunny/clear,Partly cloudy,457,140,157,160,0,1,1,0,0,5,0,1,0,0,1,1679,1655
Rhydon,112,https://cdn.traction.one/pokedex/pokemon/112.png,1,2,1,51,0,ground,rock,Sunny/clear,Partly cloudy,638,222,206,210,0,1,1,0,0,0,0,0,0,0,1,3300,3253
Chansey,113,https://cdn.traction.one/pokedex/pokemon/113.png,1,1,0,52,1,normal,,Partly cloudy,,736,60,176,500,0,1,1,0,0,10,0,0,0,0,0,1469,1448
Tangela,114,https://cdn.traction.one/pokedex/pokemon/114.png,1,1,1,53,0,grass,,Sunny/clear,,518,183,205,130,0,1,1,0,0,5,0,0,0,0,1,2208,2177
Kangaskhan,115,https://cdn.traction.one/pokedex/pokemon/115.png,1,1,1,54,0,normal,,Partly cloudy,,556,181,165,210,0,1,1,1,0,0,0,0,0,0,0,2463,2428
Horsea,116,https://cdn.traction.one/pokedex/pokemon/116.png,1,1,0,55,1,water,,Rainy,,314,129,125,60,0,1,1,0,0,0,0,1,0,0,0,921,908
Seadra,117,https://cdn.traction.one/pokedex/pokemon/117.png,1,2,0,55,1,water,,Rainy,,479,187,182,110,0,1,1,0,0,0,0,0,0,0,0,1979,1951
Goldeen,118,https://cdn.traction.one/pokedex/pokemon/118.png,1,1,0,56,0,water,,Rainy,,328,123,115,90,0,1,1,0,0,0,0,1,0,0,0,1006,992
Seaking,119,https://cdn.traction.one/pokedex/pokemon/119.png,1,2,1,56,0,water,,Rainy,,489,175,154,160,0,1,1,0,0,0,0,0,0,0,0,2040,2011
Staryu,120,https://cdn.traction.one/pokedex/pokemon/120.png,1,1,0,57,0,water,,Rainy,,309,137,112,60,0,1,1,0,0,0,0,1,0,0,0,926,913
Starmie,121,https://cdn.traction.one/pokedex/pokemon/121.png,1,2,1,57,0,water,psychic,Rainy,Windy,514,210,184,120,0,1,1,0,0,0,0,0,0,0,0,2303,2270
Mr Mime,122,https://cdn.traction.one/pokedex/pokemon/122.png,1,1,1,58,0,psychic,fairy,Windy,Cloudy,505,192,233,80,0,1,1,1,0,0,0,0,0,0,0,1984,1956
Scyther,123,https://cdn.traction.one/pokedex/pokemon/123.png,1,1,0,59,0,bug,flying,Rainy,Windy,528,218,170,140,0,1,1,0,0,5,0,1,0,0,0,2464,2429
Jynx,124,https://cdn.traction.one/pokedex/pokemon/124.png,1,1,1,60,0,ice,psychic,Snow,Windy,535,223,182,130,0,1,1,0,3,0,0,1,0,0,0,2512,2476
Electabuzz,125,https://cdn.traction.one/pokedex/pokemon/125.png,1,1,1,61,1,electric,,Rainy,,501,198,173,130,0,1,1,0,2,0,0,1,0,0,1,2196,2165
Magmar,126,https://cdn.traction.one/pokedex/pokemon/126.png,1,1,1,62,1,fire,,Sunny/clear,,505,206,169,130,0,1,1,0,0,0,0,1,0,0,1,2254,2222
Pinsir,127,https://cdn.traction.one/pokedex/pokemon/127.png,1,1,1,63,0,bug,,Rainy,,565,238,197,130,0,1,1,0,0,5,0,1,0,0,0,2770,2730
Tauros,128,https://cdn.traction.one/pokedex/pokemon/128.png,1,1,1,64,0,normal,,Partly cloudy,,545,198,197,150,0,1,1,1,0,0,0,0,0,0,0,2488,2452
Magikarp,129,https://cdn.traction.one/pokedex/pokemon/129.png,1,1,0,65,0,water,,Rainy,,171,29,102,40,0,1,1,0,1,0,1,1,0,0,0,220,217
Gyarados,130,https://cdn.traction.one/pokedex/pokemon/130.png,1,2,1,65,0,water,flying,Rainy,Windy,624,237,197,190,0,1,1,0,0,0,1,0,0,0,0,3281,3234
Lapras,131,https://cdn.traction.one/pokedex/pokemon/131.png,1,1,0,66,0,water,ice,Rainy,Snow,605,165,180,260,0,1,1,0,0,10,0,0,0,0,0,2603,2566
Ditto,132,https://cdn.traction.one/pokedex/pokemon/132.png,1,1,0,67,0,normal,,Partly cloudy,,278,91,91,96,0,1,1,0,0,0,0,0,0,0,0,718,707
Eevee,133,https://cdn.traction.one/pokedex/pokemon/133.png,1,1,0,68,1,normal,,Partly cloudy,,335,104,121,110,0,1,1,0,0,5,0,1,0,0,1,969,955
Vaporeon,134,https://cdn.traction.one/pokedex/pokemon/134.png,1,2,1,68,0,water,,Rainy,,642,205,177,260,0,1,1,0,0,0,0,0,0,0,0,3157,3112
Jolteon,135,https://cdn.traction.one/pokedex/pokemon/135.png,1,2,1,68,0,electric,,Rainy,,563,232,201,130,0,1,1,0,3,0,0,0,0,0,0,2730,2691
Flareon,136,https://cdn.traction.one/pokedex/pokemon/136.png,1,2,1,68,0,fire,,Sunny/clear,,580,246,204,130,0,1,1,0,0,0,0,0,0,0,0,2904,2863
Porygon,137,https://cdn.traction.one/pokedex/pokemon/137.png,1,1,0,69,0,normal,,Partly cloudy,,422,153,139,130,0,1,1,0,0,10,0,0,0,0,1,1567,1545
Omanyte,138,https://cdn.traction.one/pokedex/pokemon/138.png,1,1,0,70,0,rock,water,Partly cloudy,Rainy,399,155,174,70,0,1,1,0,0,5,0,1,0,0,0,1345,1326
Omastar,139,https://cdn.traction.one/pokedex/pokemon/139.png,1,2,1,70,0,rock,water,Partly cloudy,Rainy,574,207,227,140,0,1,1,0,0,0,0,0,0,0,0,2685,2647
Kabuto,140,https://cdn.traction.one/pokedex/pokemon/140.png,1,1,0,71,0,rock,water,Partly cloudy,Rainy,370,148,162,60,0,1,1,0,0,5,0,1,0,0,0,1172,1156
Kabutops,141,https://cdn.traction.one/pokedex/pokemon/141.png,1,2,1,71,0,rock,water,Partly cloudy,Rainy,543,220,203,120,0,1,1,0,0,0,0,0,0,0,0,2517,2481
Aerodactyl,142,https://cdn.traction.one/pokedex/pokemon/142.png,1,1,0,72,0,rock,flying,Partly cloudy,Windy,545,221,164,160,0,1,1,0,0,10,0,0,0,0,0,2608,2571
Snorlax,143,https://cdn.traction.one/pokedex/pokemon/143.png,1,1,0,73,0,normal,,Partly cloudy,,700,190,190,320,0,1,1,0,0,10,0,0,0,0,0,3355,3307
Articuno,144,https://cdn.traction.one/pokedex/pokemon/144.png,1,1,0,74,0,ice,flying,Snow,Windy,621,192,249,180,1,1,0,0,0,0,0,0,0,1,0,2933,2891
Zapdos,145,https://cdn.traction.one/pokedex/pokemon/145.png,1,1,0,75,0,electric,flying,Rainy,Windy,621,253,188,180,1,1,0,0,0,0,0,0,0,1,0,3330,3282
Moltres,146,https://cdn.traction.one/pokedex/pokemon/146.png,1,1,0,76,0,fire,flying,Sunny/clear,Windy,615,251,184,180,1,1,0,0,0,0,0,0,0,1,0,3272,3225
Dratini,147,https://cdn.traction.one/pokedex/pokemon/147.png,1,1,0,77,0,dragon,,Windy,,295,119,94,82,0,1,1,0,0,10,0,0,0,0,0,860,848
Dragonair,148,https://cdn.traction.one/pokedex/pokemon/148.png,1,2,1,77,0,dragon,,Windy,,423,163,138,122,0,1,1,0,0,0,0,0,0,0,0,1609,1586
Dragonite,149,https://cdn.traction.one/pokedex/pokemon/149.png,1,3,1,77,0,dragon,flying,Windy,,646,263,201,182,0,1,1,0,0,0,0,0,0,0,0,3581,3530
